Date,P_I,EU_H,C_H,SO_I,CFNAI,CFNAI_MA3,DIFFUSION
1967:03,"-0,26","-0,06","-0,01","-0,01","-0,35",,
1967:04,"0,17","-0,10","0,01","-0,08","0,00",,
1967:05,"-0,43","0,01","-0,06","-0,08","-0,56","-0,30","-0,17"
1967:06,"-0,09","0,03","0,08","0,01","0,03","-0,18","-0,15"
1967:07,"-0,19","0,10","-0,07","-0,16","-0,33","-0,28","-0,23"
1967:08,"0,60","0,22","-0,02","0,22","1,02","0,24","0,14"
1967:09,"-0,05","-0,05","0,13","-0,08","-0,05","0,21","0,11"
1967:10,"0,22","0,00","-0,12","-0,07","0,02","0,33","0,16"
1967:11,"0,53","0,33","0,10","0,38","1,35","0,44","0,19"
1967:12,"0,34","0,16","0,15","0,36","0,99","0,79","0,49"
1968:01,"-0,09","-0,22","-0,03","-0,12","-0,46","0,63","0,40"
1968:02,"0,13","0,35","0,03","-0,09","0,42","0,32","0,29"
1968:03,"0,07","0,06","0,17","0,08","0,38","0,11","0,21"
1968:04,"0,04","0,17","-0,03","-0,05","0,12","0,31","0,33"
1968:05,"0,36","0,17","0,05","0,07","0,66","0,39","0,37"
1968:06,"0,04","0,07","0,08","0,07","0,26","0,35","0,35"
1968:07,"-0,10","0,11","0,10","0,12","0,23","0,38","0,34"
1968:08,"0,14","0,12","0,05","-0,30","0,01","0,17","0,27"
1968:09,"0,06","0,15","-0,05","0,34","0,49","0,24","0,29"
1968:10,"0,12","0,18","0,09","0,16","0,55","0,35","0,46"
1968:11,"0,44","0,18","0,11","0,08","0,81","0,61","0,57"
1968:12,"0,00","0,16","-0,04","-0,11","0,01","0,45","0,48"
1969:01,"0,21","0,08","0,11","-0,07","0,33","0,38","0,45"
1969:02,"0,21","0,20","0,08","0,02","0,50","0,28","0,42"
1969:03,"0,27","0,18","-0,05","0,09","0,49","0,44","0,53"
1969:04,"-0,23","0,10","0,05","0,12","0,04","0,35","0,44"
1969:05,"-0,16","0,12","0,08","-0,07","-0,02","0,17","0,28"
1969:06,"0,25","0,17","-0,04","-0,01","0,37","0,13","0,23"
1969:07,"0,20","0,03","-0,03","-0,03","0,17","0,17","0,21"
1969:08,"-0,01","0,18","0,08","0,19","0,44","0,33","0,29"
1969:09,"-0,07","-0,13","0,05","0,06","-0,09","0,17","0,09"
1969:10,"-0,05","0,05","0,04","0,16","0,19","0,18","0,09"
1969:11,"-0,41","-0,07","-0,06","-0,27","-0,81","-0,24","-0,16"
1969:12,"-0,16","0,04","-0,02","-0,10","-0,24","-0,28","-0,15"
1970:01,"-0,76","-0,26","-0,04","-0,30","-1,35","-0,80","-0,43"
1970:02,"-0,07","-0,05","0,02","-0,04","-0,15","-0,58","-0,35"
1970:03,"-0,14","-0,08","-0,09","-0,26","-0,58","-0,69","-0,47"
1970:04,"-0,19","-0,32","0,01","-0,19","-0,70","-0,48","-0,44"
1970:05,"-0,14","-0,36","0,06","0,13","-0,32","-0,53","-0,50"
1970:06,"-0,15","-0,20","0,03","0,05","-0,27","-0,43","-0,44"
1970:07,"0,06","-0,05","0,02","-0,04","-0,01","-0,20","-0,28"
1970:08,"-0,30","-0,23","0,02","-0,05","-0,56","-0,28","-0,35"
1970:09,"-0,35","-0,22","0,04","-0,11","-0,64","-0,40","-0,37"
1970:10,"-0,81","-0,60","-0,02","-0,36","-1,80","-1,00","-0,52"
1970:11,"-0,38","-0,27","-0,11","-0,26","-1,03","-1,15","-0,53"
1970:12,"0,76","0,21","0,19","0,47","1,64","-0,39","-0,25"
1971:01,"0,18","0,02","0,25","0,10","0,56","0,39","0,08"
1971:02,"-0,04","-0,09","0,07","0,06","0,00","0,73","0,23"
1971:03,"-0,11","-0,07","0,07","0,05","-0,06","0,17","0,02"
1971:04,"0,19","0,10","0,15","0,02","0,46","0,13","0,05"
1971:05,"0,11","0,16","0,05","0,12","0,44","0,28","0,27"
1971:06,"0,11","-0,09","0,18","0,20","0,40","0,43","0,44"
1971:07,"0,01","0,00","0,06","-0,22","-0,14","0,23","0,18"
1971:08,"-0,32","-0,02","0,14","0,13","-0,06","0,07","0,01"
1971:09,"0,58","0,13","0,22","0,08","1,01","0,27","0,13"
1971:10,"0,36","0,01","0,13","-0,07","0,43","0,46","0,31"
1971:11,"0,12","0,13","0,16","0,24","0,66","0,70","0,53"
1971:12,"0,35","0,16","0,13","0,20","0,85","0,64","0,57"
1972:01,"0,84","0,25","0,11","0,22","1,43","0,98","0,73"
1972:02,"0,30","0,18","0,14","-0,22","0,39","0,89","0,72"
1972:03,"0,25","0,23","0,29","0,27","1,04","0,96","0,71"
1972:04,"0,34","0,17","0,12","0,11","0,75","0,73","0,69"
1972:05,"0,04","0,20","0,16","0,12","0,51","0,77","0,63"
1972:06,"0,10","0,20","0,14","0,07","0,51","0,59","0,58"
1972:07,"0,03","-0,11","0,16","-0,12","-0,05","0,32","0,24"
1972:08,"0,49","0,33","0,18","0,49","1,50","0,65","0,43"
1972:09,"0,27","0,11","0,17","0,34","0,89","0,78","0,45"
1972:10,"0,57","0,29","0,28","0,24","1,37","1,26","0,80"
1972:11,"0,44","0,27","0,16","0,43","1,30","1,19","0,76"
1972:12,"0,45","0,28","0,19","0,29","1,22","1,30","0,78"
1973:01,"0,26","0,29","0,22","0,30","1,08","1,20","0,75"
1973:02,"0,56","0,39","0,17","0,13","1,24","1,18","0,72"
1973:03,"0,10","0,21","0,12","0,04","0,47","0,93","0,55"
1973:04,"-0,06","0,11","0,02","0,02","0,08","0,60","0,31"
1973:05,"0,23","0,10","0,10","0,02","0,46","0,33","0,21"
1973:06,"0,00","0,17","0,07","-0,01","0,23","0,26","0,17"
1973:07,"0,08","0,05","0,14","0,26","0,53","0,41","0,31"
1973:08,"-0,12","0,05","-0,05","-0,26","-0,38","0,13","0,09"
1973:09,"0,29","0,06","0,20","0,10","0,64","0,26","0,21"
1973:10,"0,31","0,21","-0,03","0,57","1,07","0,44","0,32"
1973:11,"0,21","0,16","0,04","0,39","0,80","0,84","0,62"
1973:12,"-0,14","-0,03","-0,15","-0,10","-0,41","0,49","0,36"
1974:01,"-0,30","-0,03","0,00","0,11","-0,23","0,06","0,05"
1974:02,"-0,20","0,01","-0,03","-0,04","-0,26","-0,30","-0,27"
1974:03,"-0,05","0,00","0,04","0,08","0,07","-0,14","-0,23"
1974:04,"-0,20","-0,14","0,06","-0,08","-0,36","-0,19","-0,27"
1974:05,"0,22","0,14","0,01","0,12","0,48","0,06","-0,04"
1974:06,"-0,08","-0,10","-0,03","-0,09","-0,30","-0,06","-0,14"
1974:07,"-0,08","-0,13","0,02","-0,08","-0,27","-0,03","-0,14"
1974:08,"-0,40","-0,12","0,05","-0,25","-0,72","-0,43","-0,47"
1974:09,"-0,15","-0,29","-0,24","-0,18","-0,86","-0,62","-0,52"
1974:10,"-0,27","-0,26","-0,16","-0,42","-1,11","-0,90","-0,63"
1974:11,"-1,27","-0,67","-0,22","-0,31","-2,47","-1,48","-0,71"
1974:12,"-1,60","-0,87","-0,16","-0,70","-3,34","-2,31","-0,79"
1975:01,"-0,83","-0,73","0,05","-0,29","-1,80","-2,54","-0,82"
1975:02,"-1,06","-0,67","-0,02","-0,34","-2,09","-2,41","-0,77"
1975:03,"-0,63","-0,47","-0,21","-0,71","-2,03","-1,97","-0,78"
1975:04,"0,01","-0,26","-0,05","0,05","-0,25","-1,45","-0,61"
1975:05,"-0,13","-0,03","0,18","-0,23","-0,21","-0,83","-0,43"
1975:06,"0,18","-0,07","-0,08","0,09","0,12","-0,11","-0,14"
1975:07,"0,41","0,14","0,01","0,08","0,64","0,18","0,10"
1975:08,"0,28","0,33","-0,01","0,10","0,70","0,49","0,36"
1975:09,"0,49","0,13","-0,02","0,02","0,62","0,65","0,50"
1975:10,"0,14","0,17","-0,03","0,01","0,28","0,54","0,47"
1975:11,"0,04","0,12","0,03","-0,06","0,13","0,35","0,33"
1975:12,"0,42","0,26","0,07","0,13","0,87","0,43","0,44"
1976:01,"0,46","0,44","0,11","0,39","1,40","0,80","0,62"
1976:02,"0,40","0,29","-0,02","0,14","0,81","1,03","0,79"
1976:03,"0,06","0,17","0,04","0,14","0,41","0,87","0,69"
1976:04,"0,17","0,05","0,07","0,03","0,33","0,52","0,53"
1976:05,"0,16","0,12","-0,10","0,02","0,20","0,31","0,39"
1976:06,"-0,03","-0,07","0,12","0,18","0,21","0,25","0,25"
1976:07,"0,21","0,08","0,01","0,01","0,30","0,24","0,29"
1976:08,"0,16","0,06","-0,02","0,07","0,27","0,26","0,36"
1976:09,"0,07","0,15","0,04","0,07","0,34","0,30","0,41"
1976:10,"-0,03","-0,09","0,05","-0,27","-0,34","0,09","0,14"
1976:11,"0,46","0,21","0,08","0,25","1,00","0,33","0,23"
1976:12,"0,35","0,15","0,20","0,41","1,11","0,59","0,48"
1977:01,"-0,24","0,18","-0,05","-0,09","-0,20","0,64","0,54"
1977:02,"0,56","0,26","0,12","0,20","1,14","0,68","0,56"
1977:03,"0,40","0,36","0,09","0,22","1,08","0,67","0,48"
1977:04,"0,34","0,28","0,08","-0,05","0,65","0,96","0,71"
1977:05,"0,26","0,27","0,05","0,08","0,66","0,80","0,65"
1977:06,"0,28","0,21","0,06","0,17","0,72","0,68","0,64"
1977:07,"0,02","0,19","0,14","0,01","0,36","0,58","0,55"
1977:08,"0,05","0,13","0,06","0,04","0,28","0,45","0,51"
1977:09,"0,04","0,26","0,08","0,04","0,42","0,35","0,41"
1977:10,"0,07","0,16","0,16","0,05","0,44","0,38","0,44"
1977:11,"0,07","0,26","0,11","0,09","0,53","0,46","0,46"
1977:12,"0,22","0,23","0,09","0,25","0,79","0,59","0,57"
1978:01,"-0,61","0,01","-0,12","-0,52","-1,24","0,03","0,36"
1978:02,"0,23","0,25","0,18","0,37","1,03","0,19","0,45"
1978:03,"0,66","0,35","0,19","0,12","1,32","0,37","0,50"
1978:04,"0,57","0,49","0,18","0,53","1,77","1,37","0,87"
1978:05,"0,09","0,18","0,09","0,00","0,36","1,15","0,69"
1978:06,"0,25","0,35","0,12","0,08","0,81","0,98","0,67"
1978:07,"-0,03","0,03","0,00","-0,09","-0,10","0,36","0,32"
1978:08,"0,13","0,19","0,15","0,23","0,71","0,47","0,48"
1978:09,"0,13","0,14","0,04","-0,04","0,28","0,29","0,35"
1978:10,"0,22","0,26","0,10","0,16","0,74","0,57","0,64"
1978:11,"0,26","0,28","0,12","0,07","0,72","0,58","0,60"
1978:12,"0,21","0,12","0,13","0,07","0,52","0,66","0,64"
1979:01,"-0,24","0,08","-0,04","-0,17","-0,38","0,29","0,36"
1979:02,"0,07","0,11","0,04","-0,09","0,13","0,09","0,25"
1979:03,"0,16","0,25","0,08","0,52","1,02","0,26","0,32"
1979:04,"-0,59","-0,30","-0,05","-0,48","-1,42","-0,09","0,20"
1979:05,"0,31","0,42","0,07","0,36","1,16","0,25","0,33"
1979:06,"-0,07","0,14","0,04","-0,17","-0,05","-0,10","0,05"
1979:07,"-0,08","-0,02","0,00","-0,06","-0,16","0,32","0,10"
1979:08,"-0,41","-0,12","0,19","-0,10","-0,45","-0,22","-0,24"
1979:09,"-0,05","0,07","0,07","-0,15","-0,06","-0,22","-0,23"
1979:10,"0,11","0,02","-0,05","-0,09","-0,01","-0,17","-0,11"
1979:11,"-0,15","-0,10","0,04","-0,10","-0,32","-0,13","-0,14"
1979:12,"-0,02","0,01","-0,04","-0,12","-0,17","-0,17","-0,20"
1980:01,"0,04","-0,08","0,06","0,10","0,12","-0,13","-0,13"
1980:02,"-0,12","-0,09","-0,15","-0,17","-0,53","-0,20","-0,16"
1980:03,"-0,37","-0,11","-0,22","-0,46","-1,17","-0,53","-0,33"
1980:04,"-0,86","-0,60","-0,25","-0,53","-2,24","-1,31","-0,71"
1980:05,"-1,15","-0,57","-0,17","-0,47","-2,36","-1,92","-0,86"
1980:06,"-0,66","-0,39","0,01","-0,20","-1,24","-1,95","-0,84"
1980:07,"-0,45","-0,34","0,07","0,10","-0,62","-1,41","-0,67"
1980:08,"0,08","0,20","-0,02","0,04","0,31","-0,52","-0,20"
1980:09,"0,49","0,10","-0,02","0,42","1,00","0,23","0,19"
1980:10,"0,49","0,17","0,13","0,34","1,13","0,81","0,62"
1980:11,"0,54","0,18","-0,03","-0,06","0,62","0,91","0,61"
1980:12,"0,16","0,13","0,02","0,04","0,34","0,70","0,61"
1981:01,"-0,22","-0,04","0,04","-0,06","-0,27","0,23","0,24"
1981:02,"-0,27","-0,03","-0,05","-0,09","-0,43","-0,12","-0,05"
1981:03,"0,05","0,10","-0,01","-0,22","-0,09","-0,26","-0,18"
1981:04,"-0,02","0,06","-0,10","0,03","-0,03","-0,19","-0,02"
1981:05,"0,16","-0,02","-0,09","-0,11","-0,06","-0,06","0,10"
1981:06,"-0,12","-0,02","-0,03","-0,11","-0,28","-0,12","0,00"
1981:07,"0,11","0,06","-0,09","-0,03","0,06","-0,09","-0,07"
1981:08,"-0,12","-0,12","-0,01","-0,21","-0,46","-0,23","-0,32"
1981:09,"-0,27","-0,28","-0,20","-0,21","-0,97","-0,46","-0,55"
1981:10,"-0,42","-0,30","-0,23","-0,34","-1,28","-0,90","-0,81"
1981:11,"-0,55","-0,37","-0,17","-0,26","-1,35","-1,20","-0,87"
1981:12,"-0,66","-0,44","-0,08","-0,38","-1,56","-1,40","-0,86"
1982:01,"-0,95","-0,51","-0,18","-0,17","-1,82","-1,57","-0,85"
1982:02,"0,78","0,01","0,00","0,11","0,90","-0,83","-0,49"
1982:03,"-0,43","-0,32","-0,15","-0,05","-0,96","-0,62","-0,46"
1982:04,"-0,40","-0,40","-0,10","-0,17","-1,07","-0,38","-0,45"
1982:05,"-0,31","-0,16","-0,04","-0,10","-0,62","-0,88","-0,66"
1982:06,"-0,20","-0,42","-0,25","-0,30","-1,17","-0,95","-0,66"
1982:07,"-0,22","-0,38","0,00","-0,19","-0,78","-0,86","-0,60"
1982:08,"-0,41","-0,29","-0,09","-0,29","-1,08","-1,01","-0,68"
1982:09,"-0,21","-0,34","0,05","-0,07","-0,58","-0,82","-0,61"
1982:10,"-0,47","-0,42","-0,02","-0,35","-1,26","-0,98","-0,66"
1982:11,"-0,28","-0,24","0,08","-0,09","-0,53","-0,79","-0,59"
1982:12,"-0,31","-0,10","-0,01","-0,10","-0,52","-0,77","-0,57"
1983:01,"0,63","0,14","-0,02","0,36","1,11","0,02","-0,17"
1983:02,"-0,20","-0,11","0,03","-0,17","-0,45","0,05","-0,15"
1983:03,"0,25","0,10","0,15","0,21","0,71","0,46","0,24"
1983:04,"0,44","0,20","0,04","0,00","0,67","0,31","0,26"
1983:05,"0,29","0,24","0,11","0,27","0,92","0,77","0,66"
1983:06,"0,23","0,27","0,16","0,48","1,14","0,91","0,72"
1983:07,"0,55","0,41","0,09","0,01","1,06","1,04","0,76"
1983:08,"0,36","0,02","0,01","0,05","0,44","0,88","0,64"
1983:09,"0,61","0,61","0,08","0,27","1,57","1,02","0,64"
1983:10,"0,29","0,30","0,12","0,25","0,97","0,99","0,68"
1983:11,"0,21","0,30","0,08","0,17","0,76","1,10","0,76"
1983:12,"0,21","0,27","0,12","0,37","0,97","0,90","0,74"
1984:01,"0,66","0,33","0,15","0,12","1,26","1,00","0,76"
1984:02,"0,26","0,39","-0,02","0,05","0,67","0,97","0,72"
1984:03,"0,17","0,13","0,05","0,07","0,43","0,79","0,64"
1984:04,"0,19","0,21","0,13","0,04","0,58","0,56","0,59"
1984:05,"0,12","0,21","0,10","0,17","0,59","0,53","0,63"
1984:06,"0,14","0,23","0,13","0,11","0,60","0,59","0,67"
1984:07,"0,08","0,08","-0,05","-0,02","0,09","0,43","0,53"
1984:08,"-0,02","0,03","0,02","-0,03","-0,01","0,23","0,33"
1984:09,"-0,13","0,11","0,11","-0,15","-0,07","0,00","0,10"
1984:10,"0,05","0,08","-0,01","0,03","0,16","0,03","0,12"
1984:11,"0,04","0,12","0,19","0,07","0,42","0,17","0,28"
1984:12,"0,01","0,06","0,02","-0,02","0,06","0,21","0,34"
1985:01,"-0,15","0,00","0,11","-0,06","-0,10","0,13","0,17"
1985:02,"-0,05","0,00","0,05","-0,04","-0,04","-0,03","0,01"
1985:03,"0,08","0,13","0,05","0,09","0,36","0,07","0,09"
1985:04,"-0,20","-0,05","0,08","-0,11","-0,28","0,01","0,06"
1985:05,"0,01","0,07","0,14","0,16","0,39","0,15","0,16"
1985:06,"-0,07","-0,07","-0,03","-0,35","-0,53","-0,14","-0,09"
1985:07,"-0,27","0,00","0,09","-0,04","-0,21","-0,12","-0,09"
1985:08,"0,06","0,07","0,15","0,27","0,55","-0,07","-0,05"
1985:09,"0,05","0,06","0,22","-0,08","0,24","0,19","0,11"
1985:10,"-0,15","0,04","-0,17","-0,11","-0,40","0,13","0,16"
1985:11,"0,13","0,06","0,05","0,08","0,32","0,06","0,13"
1985:12,"0,19","0,04","0,16","-0,11","0,29","0,07","0,19"
1986:01,"0,25","0,04","0,10","0,21","0,60","0,40","0,37"
1986:02,"-0,29","-0,12","0,02","-0,14","-0,53","0,12","0,03"
1986:03,"-0,22","-0,01","0,09","-0,07","-0,21","-0,05","-0,18"
1986:04,"0,04","0,01","0,16","0,29","0,51","-0,08","-0,19"
1986:05,"0,01","-0,02","0,13","-0,27","-0,14","0,05","0,02"
1986:06,"-0,19","-0,07","0,02","0,11","-0,13","0,08","0,07"
1986:07,"0,11","0,08","0,11","0,03","0,32","0,02","0,10"
1986:08,"-0,01","0,04","0,11","-0,07","0,08","0,09","0,10"
1986:09,"0,02","0,05","0,33","0,26","0,66","0,35","0,30"
